trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
703,False,"{'a': 0.5, 'e': 0.08747411659969974}",20,14,10.213861342025504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.08717147914690034}",35,21,26.102807078191734,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.5, 'e': 0.08686988874014608}",25,17,16.074828765933148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.08656934175693277}",20,14,10.665754750703645,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 0.08626983458728932}",20,13,12.078859735148177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.5, 'e': 0.08597136363373398}",30,12,29.096618927481657,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.08567392531123147}",20,10,10.052693551750927,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 0.0853775160471497}",20,0,8.87280824447444,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
711,False,"{'a': 0.5, 'e': 0.08508213228121708}",30,16,24.894161504437548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.08478777046547949}",20,10,17.233274067008292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.08449442706425786}",25,6,18.493474663256983,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.08420209855410563}",25,13,21.6473332910403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.08391078142376646}",25,14,21.004168532275646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.083620472174132}",20,13,13.330069009635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.08333116731819992}",25,9,20.980080148698452,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.08304286338103198}",20,14,11.334397547788159,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.08275555689971231}",30,0,39.700642115637066,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
720,False,"{'a': 0.5, 'e': 0.08246924442330589}",20,9,9.02371681811264,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.08218392251281693}",20,4,34.62569441776138,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.08189958774114771}",25,11,25.37056464374065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.08161623669305734}",20,16,8.515720071177759,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.08133386596512084}",25,13,23.178470839569542,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.0810524721656881}",25,3,-8.345698518313561,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
726,False,"{'a': 0.5, 'e': 0.08077205191484327}",30,12,37.17918319447136,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.5, 'e': 0.08049260184436408}",20,15,10.51231378353647,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.0802141185976815}",25,9,26.513034521543027,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.07993659882983929}",20,15,-1.9387215124751824,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.07966003920745389}",20,5,25.008662073411383,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.07938443640867433}",30,10,-2.9245170850142572,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
732,False,"{'a': 0.5, 'e': 0.07910978712314248}",25,16,4.82768515012375,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.0788360880519531}",20,13,6.3986292088206085,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.07856333590761427}",20,10,4.275174304681251,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.07829152741400798}",35,23,21.99266400096903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.07802065930635074}",25,8,32.29599096750351,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.0777507283311543}",25,7,-3.81773803275333,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.07748173124618667}",20,14,13.108093688083208,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.07721366482043306}",20,4,16.43465115264957,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 0.07694652583405726}",25,13,21.620143383539343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.07668031107836275}",30,10,13.041821183230251,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.07641501735575429}",20,2,7.0185994819313064,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.07615064147969947}",25,11,1.7903690962212626,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
744,False,"{'a': 0.5, 'e': 0.07588718027469042}",20,10,16.36923873230356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 0.07562463057620579}",20,13,9.527052633376005,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.5, 'e': 0.07536298923067253}",20,15,8.5777058228209,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 0.07510225309542817}",20,10,18.443715230130614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.5, 'e': 0.07484241903868304}",25,15,4.417056522365981,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 0.07458348393948261}",30,19,19.34921981417936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 0.07432544468767006}",20,0,-18.527475617368182,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
751,False,"{'a': 0.5, 'e': 0.07406829818384889}",20,10,18.96182355119634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.5, 'e': 0.07381204133934564}",25,19,11.815401934322397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.07355667107617295}",25,15,19.50153708405832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 0.07330218432699243}",20,16,9.617334518382188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
